                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.87559,                 0.4149,                0.94175,                0.99116,                 0.9879,                0.99419,                0.76363,                0.90696,                0.37838,                0.93731,              0.0004085,              0.0004085,              0.0004085
                     37,                 0.8712,                0.41196,                0.93864,                0.99343,                0.97681,                0.99409,                0.76772,                0.89161,                0.37034,                0.92969,             0.00038375,             0.00038375,             0.00038375
                     38,                0.85186,                0.40381,                  0.931,                0.99482,                0.97511,                0.99376,                0.77614,                0.88085,                0.36696,                0.92598,               0.000359,               0.000359,               0.000359
                     39,                0.83896,                0.39728,                0.92583,                0.98724,                0.98336,                0.99422,                0.77256,                0.88174,                0.36519,                0.92569,             0.00033425,             0.00033425,             0.00033425
                     40,                0.82641,                0.39226,                0.92582,                0.99162,                 0.9843,                0.99445,                0.77186,                0.88292,                0.36781,                 0.9273,              0.0003095,              0.0003095,              0.0003095
                     41,                0.80744,                0.35226,                 0.9172,                0.99037,                0.98642,                0.99428,                0.77219,                0.87583,                0.36137,                0.92553,             0.00028475,             0.00028475,             0.00028475
                     42,                0.79004,                0.34616,                0.90823,                0.99063,                0.99019,                0.99429,                 0.7768,                0.87249,                0.35361,                0.92621,                0.00026,                0.00026,                0.00026
                     43,                0.77538,                0.33889,                0.90624,                0.99484,                0.98138,                0.99431,                0.77906,                0.86933,                0.35284,                0.92394,             0.00023525,             0.00023525,             0.00023525
                     44,                0.77101,                0.33421,                0.89901,                0.99487,                0.97811,                0.99443,                0.77974,                0.86303,                0.34973,                0.92083,              0.0002105,              0.0002105,              0.0002105
                     45,                0.75529,                0.33088,                0.89927,                0.99379,                0.98843,                0.99447,                0.77704,                0.86633,                0.35141,                0.92191,             0.00018575,             0.00018575,             0.00018575
                     46,                0.74706,                0.32437,                0.89423,                0.99007,                0.98928,                0.99451,                0.78105,                0.85863,                 0.3441,                0.92046,               0.000161,               0.000161,               0.000161
                     47,                0.72783,                0.31644,                 0.8883,                0.99087,                0.99065,                0.99445,                 0.7845,                0.85358,                0.34074,                0.92095,             0.00013625,             0.00013625,             0.00013625
                     48,                0.72077,                0.31173,                0.88417,                0.99312,                0.98857,                0.99453,                0.78113,                0.85334,                0.34052,                0.92251,              0.0001115,              0.0001115,              0.0001115
                     49,                0.70359,                0.30723,                0.88279,                0.99168,                0.98975,                0.99436,                0.78448,                0.85037,                0.33674,                0.92154,              8.675e-05,              8.675e-05,              8.675e-05
                     50,                0.70317,                0.30432,                0.87986,                0.99455,                 0.9849,                0.99442,                0.78684,                0.84882,                0.33399,                0.91994,                6.2e-05,                6.2e-05,                6.2e-05
