                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7641,                  2.464,                 1.0926,                0.83886,                0.73747,                0.81532,                0.43814,                 1.5955,                 1.3522,                 1.0597,             0.00041619,             0.00041619,             0.00041619
                      2,                 1.6593,                 1.2894,                 1.0627,                0.85727,                0.79574,                0.87533,                 0.4796,                 1.5174,                0.95845,                 1.0224,             0.00081636,             0.00081636,             0.00081636
                      3,                  1.625,                 1.0993,                  1.047,                0.86841,                0.78175,                 0.8623,                0.46474,                 1.5443,                 0.9741,                 1.0157,                 0.0012,                 0.0012,                 0.0012
                      4,                 1.5812,                 1.0412,                 1.0431,                0.94323,                0.84927,                0.91175,                0.50409,                 1.5077,                 0.8547,                 1.0198,              0.0011757,              0.0011757,              0.0011757
                      5,                  1.528,                0.97414,                 1.0207,                0.91688,                0.84334,                0.90284,                0.51905,                 1.4551,                0.87334,                0.99387,              0.0011757,              0.0011757,              0.0011757
                      6,                 1.5049,                0.91982,                 1.0097,                0.90118,                0.88288,                0.91655,                0.54746,                 1.3907,                0.80833,                0.97054,               0.001151,               0.001151,               0.001151
                      7,                 1.4522,                0.87308,                0.99467,                0.94072,                0.88418,                0.93156,                0.56207,                 1.3709,                0.76993,                0.96553,              0.0011263,              0.0011263,              0.0011263
                      8,                 1.4485,                0.85477,                0.99351,                0.93224,                0.90266,                 0.9425,                0.56627,                 1.3298,                0.75504,                0.95966,              0.0011015,              0.0011015,              0.0011015
                      9,                 1.4316,                0.84515,                0.98772,                0.95647,                0.91466,                0.94338,                0.57277,                 1.3249,                0.70308,                0.94962,              0.0010768,              0.0010768,              0.0010768
                     10,                 1.3989,                0.81935,                0.98015,                0.94783,                0.92722,                0.95935,                0.59809,                 1.3092,                0.69969,                0.94422,               0.001052,               0.001052,               0.001052
                     11,                 1.3873,                0.79998,                0.97021,                0.95875,                0.92931,                0.95403,                0.59797,                  1.263,                0.70775,                0.93193,              0.0010273,              0.0010273,              0.0010273
                     12,                 1.3753,                0.79538,                0.97301,                0.96816,                0.92003,                0.95364,                0.59936,                 1.2883,                0.69934,                0.92961,              0.0010025,              0.0010025,              0.0010025
                     13,                 1.3681,                0.77471,                0.96521,                0.95175,                0.91236,                 0.9504,                0.58194,                 1.2898,                 0.6814,                 0.9413,             0.00097775,             0.00097775,             0.00097775
                     14,                  1.344,                0.75818,                0.96189,                0.94694,                0.91835,                0.95677,                  0.602,                 1.2507,                0.65861,                0.92741,               0.000953,               0.000953,               0.000953
                     15,                 1.3336,                0.75552,                0.95497,                0.94538,                0.93781,                0.96464,                0.61196,                 1.2262,                0.66806,                0.91797,             0.00092825,             0.00092825,             0.00092825
                     16,                 1.3197,                0.74622,                0.95249,                0.95938,                0.92098,                0.96312,                0.62174,                 1.2291,                0.64833,                0.92102,              0.0009035,              0.0009035,              0.0009035
                     17,                 1.3133,                0.72797,                0.94624,                0.97164,                0.90993,                0.96027,                0.61883,                 1.2248,                0.63939,                0.92032,             0.00087875,             0.00087875,             0.00087875
                     18,                 1.3129,                0.73231,                0.95194,                0.96103,                0.92193,                0.96216,                0.63009,                 1.2136,                0.63809,                0.91546,               0.000854,               0.000854,               0.000854
                     19,                 1.2892,                0.71722,                0.94833,                  0.977,                  0.927,                0.96725,                0.62932,                 1.2071,                0.62558,                0.91171,             0.00082925,             0.00082925,             0.00082925
                     20,                 1.2716,                0.70621,                0.94737,                0.95482,                0.94076,                 0.9653,                 0.6336,                 1.2064,                0.61995,                0.91139,              0.0008045,              0.0008045,              0.0008045
                     21,                 1.2642,                0.69712,                0.93584,                0.97714,                0.92824,                0.96348,                0.63722,                 1.1951,                0.61388,                 0.9095,             0.00077975,             0.00077975,             0.00077975
                     22,                  1.265,                0.69006,                0.94098,                0.96216,                0.93568,                0.96281,                0.63162,                 1.1833,                0.60631,                0.90702,               0.000755,               0.000755,               0.000755
                     23,                 1.2608,                 0.6811,                0.93275,                0.96618,                0.93726,                0.96853,                0.63905,                 1.1678,                0.59452,                 0.9022,             0.00073025,             0.00073025,             0.00073025
                     24,                 1.2549,                0.68163,                0.93633,                0.96965,                0.93639,                0.96701,                0.64842,                 1.1471,                0.58862,                0.89713,              0.0007055,              0.0007055,              0.0007055
                     25,                 1.2376,                0.66615,                0.93365,                0.97836,                0.95092,                0.97346,                0.63586,                 1.1657,                0.58375,                0.90508,             0.00068075,             0.00068075,             0.00068075
                     26,                 1.2269,                0.66464,                0.92852,                0.96689,                0.94239,                0.96986,                0.65553,                 1.1494,                0.58863,                0.90155,               0.000656,               0.000656,               0.000656
                     27,                 1.2255,                0.66295,                0.92693,                0.97979,                0.94011,                0.97289,                0.66229,                 1.1282,                 0.5709,                0.89748,             0.00063125,             0.00063125,             0.00063125
                     28,                 1.2279,                0.65699,                0.93286,                0.97637,                0.94406,                0.97241,                0.66227,                 1.1456,                0.57892,                0.89875,              0.0006065,              0.0006065,              0.0006065
                     29,                  1.196,                0.64511,                0.92022,                0.98323,                0.93142,                0.97016,                0.65638,                 1.1172,                0.56498,                0.89398,             0.00058175,             0.00058175,             0.00058175
                     30,                 1.2001,                0.63431,                 0.9212,                0.97554,                 0.9327,                0.96809,                0.66911,                 1.1054,                0.54218,                0.89082,               0.000557,               0.000557,               0.000557
                     31,                 1.1928,                0.63533,                0.92269,                0.96636,                0.94399,                0.97284,                0.66987,                 1.1107,                0.54993,                0.89101,             0.00053225,             0.00053225,             0.00053225
                     32,                 1.1751,                0.62082,                0.92262,                0.97511,                0.94747,                0.97195,                0.67331,                 1.0992,                0.54575,                0.88569,              0.0005075,              0.0005075,              0.0005075
                     33,                 1.1778,                0.61993,                 0.9175,                0.97854,                0.95893,                0.98248,                0.67292,                 1.0986,                0.53945,                 0.8905,             0.00048275,             0.00048275,             0.00048275
                     34,                 1.1866,                0.61934,                0.91622,                0.98367,                0.95356,                0.97991,                0.67421,                 1.0961,                0.53628,                0.88749,               0.000458,               0.000458,               0.000458
                     35,                 1.1582,                0.60104,                0.91258,                0.98208,                0.95501,                0.98203,                0.68237,                 1.0778,                0.52662,                0.88473,             0.00043325,             0.00043325,             0.00043325
                     36,                 1.1482,                0.59739,                0.90914,                0.97664,                0.94748,                0.97593,                0.68572,                 1.0702,                0.52696,                0.88186,              0.0004085,              0.0004085,              0.0004085
                     37,                 1.1546,                0.59914,                0.91094,                0.97544,                0.95965,                0.97565,                0.68222,                 1.0743,                0.52491,                0.88511,             0.00038375,             0.00038375,             0.00038375
                     38,                 1.1352,                0.58821,                0.90553,                0.96748,                0.96055,                0.98102,                0.68883,                 1.0819,                0.51322,                0.88252,               0.000359,               0.000359,               0.000359
                     39,                 1.1175,                0.57645,                0.90467,                0.97735,                0.95859,                0.98213,                0.69017,                 1.0666,                0.51625,                0.88484,             0.00033425,             0.00033425,             0.00033425
                     40,                 1.1217,                0.58228,                0.90506,                 0.9678,                0.95571,                0.97543,                0.69014,                 1.0546,                0.50842,                0.88158,              0.0003095,              0.0003095,              0.0003095
                     41,                 1.0534,                0.52513,                0.88689,                0.97387,                0.95774,                0.97491,                0.69319,                 1.0392,                0.49986,                0.87735,             0.00028475,             0.00028475,             0.00028475
                     42,                 1.0322,                 0.5138,                 0.8811,                0.98573,                0.95488,                0.98423,                 0.6959,                  1.036,                0.49775,                0.87863,                0.00026,                0.00026,                0.00026
                     43,                 1.0314,                0.50774,                 0.8821,                0.97931,                0.95938,                0.98281,                0.70276,                 1.0273,                0.49433,                0.87573,             0.00023525,             0.00023525,             0.00023525
                     44,                 1.0185,                0.50124,                0.87791,                0.98098,                 0.9602,                0.98266,                0.70663,                 1.0311,                0.49299,                0.87422,              0.0002105,              0.0002105,              0.0002105
                     45,                 1.0056,                0.49873,                0.87267,                0.98052,                0.95866,                0.98257,                0.70869,                 1.0194,                0.48891,                0.87309,             0.00018575,             0.00018575,             0.00018575
                     46,                 1.0007,                0.48961,                0.87396,                0.98202,                0.95143,                0.98312,                 0.7115,                 1.0152,                0.48306,                0.87215,               0.000161,               0.000161,               0.000161
                     47,                0.98736,                0.48453,                0.87035,                0.98089,                 0.9637,                0.98431,                 0.7097,                 1.0119,                0.48234,                0.87192,             0.00013625,             0.00013625,             0.00013625
