                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                  1.111,                0.56655,                 0.9012,                0.98549,                0.94244,                0.98392,                0.69581,                 1.0446,                0.49997,                0.87931,              0.0004085,              0.0004085,              0.0004085
                     37,                 1.1149,                0.56367,                0.90536,                0.98596,                0.94923,                0.98358,                0.69971,                 1.0342,                0.48608,                0.87837,             0.00038375,             0.00038375,             0.00038375
                     38,                 1.0934,                0.55583,                0.89753,                0.97897,                0.95472,                0.98482,                0.70797,                 1.0329,                0.48638,                0.88041,               0.000359,               0.000359,               0.000359
                     39,                 1.0755,                0.54386,                0.89735,                0.98759,                0.95214,                0.98201,                0.70699,                  1.021,                0.48067,                0.87549,             0.00033425,             0.00033425,             0.00033425
                     40,                  1.087,                0.54438,                0.89982,                 0.9856,                0.95764,                0.98254,                0.70788,                 1.0204,                0.47694,                0.87678,              0.0003095,              0.0003095,              0.0003095
                     41,                 1.0104,                0.48778,                0.87809,                0.98242,                0.96122,                  0.985,                0.70457,                 1.0147,                0.47686,                0.87313,             0.00028475,             0.00028475,             0.00028475
                     42,                0.99536,                 0.4808,                 0.8735,                0.97979,                0.96273,                0.98344,                0.71308,                0.99878,                 0.4721,                0.87159,                0.00026,                0.00026,                0.00026
                     43,                0.99287,                0.47522,                0.87513,                0.98029,                0.95674,                0.98234,                0.71413,                 1.0001,                0.46288,                0.87338,             0.00023525,             0.00023525,             0.00023525
                     44,                0.98336,                0.46719,                0.87232,                0.98228,                0.96629,                0.98653,                0.71304,                 1.0024,                0.45909,                 0.8738,              0.0002105,              0.0002105,              0.0002105
                     45,                0.96825,                 0.4648,                0.86699,                0.97438,                0.96675,                0.98447,                0.71582,                0.99383,                0.45937,                0.87128,             0.00018575,             0.00018575,             0.00018575
                     46,                0.95911,                0.45619,                 0.8654,                0.98525,                0.95953,                0.98491,                0.72322,                0.98773,                0.45377,                0.87031,               0.000161,               0.000161,               0.000161
                     47,                0.95096,                0.45287,                0.86143,                 0.9879,                0.96101,                0.98575,                0.72681,                0.97985,                0.44903,                0.86962,             0.00013625,             0.00013625,             0.00013625
                     48,                 0.9425,                0.44873,                0.85939,                0.97612,                0.97016,                0.98558,                0.72523,                0.97701,                0.44937,                0.86673,              0.0001115,              0.0001115,              0.0001115
                     49,                0.93594,                0.44365,                0.86022,                0.98771,                0.96127,                0.98756,                0.72703,                0.97467,                 0.4441,                0.86866,              8.675e-05,              8.675e-05,              8.675e-05
                     50,                0.93206,                0.44069,                0.85814,                0.98822,                0.96586,                0.98785,                 0.7291,                0.97006,                 0.4415,                0.86858,                6.2e-05,                6.2e-05,                6.2e-05
